open_price,high_price,low_price,noof_shares,close_price,predicted_close_price
6240.0,6247.4,6101.55,1878,6180.25,
9560.75,9700.0,9462.45,2825,9540.45,
6486.45,6537.45,6333.0,2314,6456.7,
6025.0,6033.4,5928.95,1166,5965.0,
6528.0,6528.0,6410.0,1718,6451.05,
18870.0,19025.8,18708.55,1953,18773.8,
7480.0,7640.0,7429.5,19915,7585.35,
11203.95,11229.1,10852.65,1146,10952.7,
10041.75,10329.0,9993.65,20821,10230.1,
6106.2,6240.0,6095.0,4101,6224.65,
4696.65,4706.0,4643.05,1162,4693.2,
5900.0,6060.0,5800.1,71519,6010.8,
5915.0,5925.0,5830.0,3100,5845.75,
11520.0,11525.0,11299.95,15613,11427.85,
4611.0,4665.0,4610.45,2480,4622.5,
7870.1,7900.0,7755.0,1779,7788.15,
6875.0,6999.0,6829.0,3305,6950.3,
17650.05,17802.3,17650.05,1645,17755.55,
14400.75,14410.95,14229.5,661,14282.35,
16555.45,16624.45,16375.0,2072,16404.75,
7045.45,7090.5,6887.75,32444,6991.2,
18058.6,18120.0,17630.0,2313,17815.2,
6185.0,6204.4,6150.0,477,6174.5,
4520.0,4640.0,4481.0,3352,4602.85,
15869.95,15869.95,15483.0,1669,15502.5,
18926.0,19314.15,18925.0,1599,19197.9,
11756.5,11804.75,11650.0,1009,11685.6,
7019.45,7024.05,6950.0,9151,6985.35,
6116.0,6160.0,5960.1,3254,6114.7,
4599.9,4620.0,4409.0,8556,4505.55,
6004.0,6049.85,5825.2,17436,5845.35,
6570.9,6596.1,6484.85,5137,6526.45,
11470.0,11506.9,11294.0,1314,11343.8,
5010.5,5099.8,5000.0,964,5066.75,
17211.0,17328.1,16800.0,3852,17189.35,
7262.4,7316.55,7202.05,1597,7245.2,
16298.0,16318.45,15960.0,1341,15995.0,
6344.7,6344.7,6225.0,1665,6264.4,
4594.05,4637.15,4581.05,3686,4593.55,
17969.9,18000.0,17510.0,3067,17567.1,
16620.0,17210.25,16620.0,5655,16861.45,
4899.0,4939.0,4830.0,3535,4890.85,
6371.95,6414.55,6329.7,4885,6400.85,
16850.0,16990.0,16649.4,7614,16766.2,
10780.0,10851.75,10616.65,4110,10798.65,
19999.0,20025.0,19867.35,664,19925.1,
5898.05,5916.75,5875.0,1834,5891.4,
4978.85,5028.3,4954.0,713,5003.0,
19410.0,19524.7,19127.85,1573,19328.8,
16240.0,16299.0,16098.55,1631,16121.85,
10900.0,11000.0,10655.3,38760,10690.65,
18188.0,18188.0,17350.0,4030,17417.15,
6443.65,6541.2,6443.65,1956,6488.75,
4790.0,4855.0,4790.0,1415,4814.55,
17499.0,17499.0,16914.5,3186,16971.15,
6956.45,7070.0,6830.0,17586,6941.9,
7688.75,7735.95,7685.0,6136,7717.3,
11538.55,11664.0,11470.2,1059,11619.95,
7950.0,8000.0,7842.0,1558,7859.45,
4721.0,4743.9,4702.1,1697,4716.25,
5091.0,5101.0,4937.25,2780,4965.2,
4610.05,4635.0,4580.0,11160,4589.95,
16767.0,16860.0,16596.0,4273,16831.25,
5461.0,5508.35,5416.0,979,5455.8,
17500.0,17553.0,17367.15,16777,17406.05,
10472.0,10560.0,10284.2,21490,10305.55,
20370.0,20517.9,19783.6,4485,19876.65,
10330.7,10352.1,10192.55,924,10269.55,
15477.0,15620.55,15465.0,5700,15554.65,
15900.0,15983.35,15655.15,1856,15671.55,
5752.0,5791.0,5714.3,1541,5743.9,
16500.0,16549.0,16305.45,2796,16340.1,
4508.0,4520.0,4461.0,1374,4474.75,
7886.85,7900.0,7849.15,840,7870.2,
4711.0,4785.5,4690.0,3106,4768.5,
17641.6,17641.6,17497.0,798,17602.75,
15399.0,15599.0,15365.0,2271,15441.35,
11525.0,11720.0,11489.3,1159,11697.35,
6274.35,6378.55,6192.0,3273,6302.55,
14295.95,14307.2,14150.0,562,14159.5,
14540.0,14606.4,13390.65,24933,13513.4,
